ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S1414-753X2018000100303-scl","MEANINGS OF WATER FOR THE FAKCHA LLAKTA INDIGENOUS COMMUNITY OF OTAVALO, ECUADOR","TRUJILLO, CARMEN AMELIA, RANGEL, JOSÉ ALÍ MONCADA, CARRERA, JESÚS RAMÓN ARANGUREN, TAPIA, KENNEDY ROLANDO LOMAS","Ambiente &amp; Sociedade; 21(); -","Ambiente &amp; Sociedade","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2018000100303&lang=pt" 
"S1414-753X2018000100304-scl","TOPOPHILIA AND ENVIRONMENTAL VALUATION OF URBAN FOREST FRAGMENTS IN AN AMAZONIAN CITY","PEREIRA, HENRIQUE DOS SANTOS, KUDO, STEPHANY ANRY, SILVA, SUZY CRISTINA PEDROZA DA","Ambiente &amp; Sociedade; 21(); -","Ambiente &amp; Sociedade","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2018000100304&lang=pt" 
"S1414-753X2018000100301-scl","LEARNING, ENVIRONMENTAL EDUCATION AND SCHOOL: WAYS OF EN-ACTING IN THE EXPERIENCE OF STUDENTS AND TEACHERS","DEMOLY, KARLA ROSANE DO AMARAL, SANTOS, JOCEILMA SALES BIZIU DOS","Ambiente &amp; Sociedade; 21(); -","Ambiente &amp; Sociedade","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2018000100301&lang=pt" 
"S1414-753X2018000100305-scl","ENVIRONMENTAL MANAGEMENT IN HOTELS: SUSTAINABLE TECHNOLOGIES AND PRACTICES APPLIED IN HOTELs1","AMAZONAS, IURI TAVARES, SILVA, RODRIGO FREIRE DE CARVALHO E, ANDRADE, MARISTELA OLIVEIRA DE","Ambiente &amp; Sociedade; 21(); -","Ambiente &amp; Sociedade","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2018000100305&lang=pt" 
"S1414-753X2018000100302-scl","INSTITUTIONS AND ENVIRONMENTAL GOVERNANCE: THE CASE OF ENVIRONMENTAL PERMITTING FOR OFFSHORE OIL AND GAS PROJECTS","BREDARIOL, TOMÁS DE OLIVEIRA, D’AVIGNON, ALEXANDRE LOUIS DE ALMEIDA","Ambiente &amp; Sociedade; 21(); -","Ambiente &amp; Sociedade","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2018000100302&lang=pt" 
"S1414-753X2018000100401-scl","MOVING TOWARDS THE SUSTAINABLE DEVELOPMENT GOALS: THE UNLEASH INNOVATION LAB EXPERIENCE","BURALLI, RAFAEL JUNQUEIRA, CANELAS, TIAGO, CARVALHO, LAURA MARTINS DE, DUIM, ETIENNE, ITAGYBA, RENATA FORTES, FONSECA, MARÍLIA, OLIVER, SOFIA LIZARRALDE, CLEMENTE, NÚRIA SANCHEZ","Ambiente &amp; Sociedade; 21(); -","Ambiente &amp; Sociedade","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2018000100401&lang=pt" 
"S1414-753X2018000100308-scl","RURAL WOMEN AND VIOLENCE: READINGS OF A REALITY THAT APPROACHES FICTION","BUENO, ANDRÉ LUIS MACHADO, LOPES, MARTA JULIA MARQUES","Ambiente &amp; Sociedade; 21(); -","Ambiente &amp; Sociedade","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2018000100308&lang=pt" 
"S1414-753X2018000100306-scl","ANTIPARASITIC PLANTS USED BY THE KANTARURÉ-BATIDA INDIGENOUS COMMUNITY (NE-BRAZIL): ETHNOBOTANY AND LOCAL KNOWLEDGE-EROSION RISKS","VASCO-DOS-SANTOS, DEYVISON RHUAN, SANTOS, JÉSSICA VIEIRA DOS, ANDRADE, WBANEIDE MARTINS DE, SANTOS-LIMA, THAYSE MACEDO DOS, LIMA, LIDIANE NUNES, DIAS-LIMA, ARTUR GOMES, ANDRADE, MARIA JOSÉ GOMES DE, VANNIER-SANTOS, MARCOS ANDRÉ, MOURA, GERALDO JORGE BARBOSA DE, NUNES, ERIKA DOS SANTOS","Ambiente &amp; Sociedade; 21(); -","Ambiente &amp; Sociedade","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2018000100306&lang=pt" 
"S1414-753X2018000100307-scl","QUALITY EVALUATION OS ENVIRONMENTAL LICENSING PROCESSES OF MININ ENTERPRISES IN MINAS GERAIS","SILVA JUNIOR, LEONARDO DA, ALVARENGA, MARIA INÊS NOGUEIRA, GARCIA, SÂMIA REGINA","Ambiente &amp; Sociedade; 21(); -","Ambiente &amp; Sociedade","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2018000100307&lang=pt" 
"S1414-753X2018000100309-scl","FLOODS AND SOCIAL VULNERABILITY: STUDY ON THE XINGU RIVER IN ALTAMIRA / PA","FRANCO, VÂNIA DOS SANTOS, SOUZA, EVERALDO BARREIROS DE, LIMA, ALINE MARIA MEIGUINS DE","Ambiente &amp; Sociedade; 21(); -","Ambiente &amp; Sociedade","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2018000100309&lang=pt" 
